X,Y,OBJECTID,COLL_METH,STRUCTURE,CB_TYPE,MH_COVER,DIMENSION,DEPTH,ELEVATION,LOCATION,BASIN,STRUC_ID,MUNI,PROJECT_ID,MAP_ID,COMMENTS,ST_NAME,HOUSE_NUM,LOCAL_ID,LAT,LONG_,ASSET_ID,INV_ELEV,OF_SHAPE,OF_MATERIAL,OF_TYPE,OWNER,GENERIC_OWN,DATA_SOURCE,OFFICE_TRACK,SHAPE,WC_DRAINAGE_BASIN,LAND_USE_TYPE,FEATURE_TYPE,SOURCE,HOUS_NUM,GLOBALID,ACCESSIBLE,TYPE_,MATERIAL,SHAPE_,QUANTITY,SUBMERGED,FLOW_PRESE,FLOW_DESC,DAMAGE,DEPOSITS,ABNORMAL_V,POOR_POOL_,BENTHIC_GR,INSPECTION,POLE,OFFSET_,HD,VD,SD,INC,AZ,CREATOR,EDITOR,HEIGHT,WIDTH,CONV_DIR,UNIQUE_ID_ALL_POINT_FEATURES,RESPONSIBILITY
704374.99792026,783179.095610611,1450,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,be1c544f-cc63-4906-803f-6d6e046f6c6e,Y,CP, ,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1450,DPW
707792.931701176,782898.644071773,1451,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,Institutional and Public Assembly,Outfall,,,c434cd79-a192-4426-bfcf-c29ab937c3d1,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1451,DPW
708438.086578842,782761.696839109,1452,Stellar Services Field Survey,,,,12,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,9d4f4ecd-4348-420b-af07-be433337cfb6,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1452,DPW
708520.181230925,782729.394410275,1453,Stellar Services Field Survey,,,,12,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,ead025d0-73d8-4b53-b511-b734682f3d82,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1453,DPW
708593.555756092,782707.448259942,1454,Stellar Services Field Survey,,,,0,0,0,,,,,,,Cannot see outfall exactly as it is on other side of fence,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,dc6bbf0f-b517-4d70-b4de-38116ad573b0,Y,CP,RCP, ,1,WP,Y,TRI,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1454,DPW
717536.607751843,792513.145512022,1455,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,54903cfe-77a3-49d8-8f24-87590504446c,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,1,N,0,0,0,0,0, , ,0,0,OUT,1455,DPW
718090.023311675,789932.086697772,1456,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,6d712b62-94b8-43be-ae6e-951272fec666,Y,CP,VCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1456,DPW
717945.283771761,789755.572287023,1457,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,511d7b34-5745-436f-9420-5899dc2713e0,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1457,DPW
718198.412530594,791034.400766104,1458,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,4c51cec1-a857-4865-9c81-822a4d482a47,Y,CP, ,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1458,DPW
718114.609876677,791355.170465775,1459,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,d3e19506-1ac4-497d-add4-600e8e654077,Y,CP, ,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1459,DPW
717595.144380175,788974.449505441,1460,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,c2627d14-e129-42eb-b03d-6abab0418f6c,Y,CP, ,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1460,DPW
717058.287842344,786071.459248438,1461,Stellar Services Field Survey,,,,36,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,f6b89112-4b53-4ea6-887a-43e35064e2a6,Y,CP,RCP,CIRC,1,WP,N,NO,NO,NO,NO,NO,NO,2019/10/08 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1461,DPW
