sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
31,1,0,36021
31,2,0.2482,36021
31,3,0.4619,36021
31,4,0,36021
31,5,0.2899,36021
32,1,0,36021
32,2,0.2482,36021
32,3,0.4619,36021
32,4,0,36021
32,5,0.2899,36021
41,1,0,36021
41,2,0.168,36021
41,3,0.525,36021
41,4,0,36021
41,5,0.307,36021
42,1,0,36021
42,2,0.168,36021
42,3,0.525,36021
42,4,0,36021
42,5,0.307,36021
43,1,0,36021
43,2,0.168,36021
43,3,0.525,36021
43,4,0,36021
43,5,0.307,36021
51,1,0,36021
51,2,0.2251,36021
51,3,0.539,36021
51,4,0,36021
51,5,0.2359,36021
52,1,0,36021
52,2,0.2251,36021
52,3,0.539,36021
52,4,0,36021
52,5,0.2359,36021
53,1,0,36021
53,2,0.2251,36021
53,3,0.539,36021
53,4,0,36021
53,5,0.2359,36021
53,1,0,36021
54,2,0.2251,36021
54,3,0.539,36021
54,4,0,36021
54,5,0.2359,36021
61,1,0,36021
61,2,0.7864,36021
61,3,0.1683,36021
61,4,0,36021
61,5,0.0453,36021
62,1,0,36021
62,2,0.7864,36021
62,3,0.1683,36021
62,4,0,36021
62,5,0.0453,36021
11,1,0,36023
11,2,0.284,36023
11,3,0.3803,36023
11,4,0.0642,36023
11,5,0.2715,36023
21,1,0,36023
21,2,0.336,36023
21,3,0.2956,36023
21,4,0.0833,36023
21,5,0.2851,36023
31,1,0,36023
31,2,0.336,36023
31,3,0.2956,36023
31,4,0.0833,36023
31,5,0.2851,36023
32,1,0,36023
32,2,0.336,36023
32,3,0.2956,36023
32,4,0.0833,36023
32,5,0.2851,36023
41,1,0,36023
41,2,0.2086,36023
41,3,0.3901,36023
41,4,0.0504,36023
41,5,0.3509,36023
42,1,0,36023
42,2,0.2086,36023
42,3,0.3901,36023
42,4,0.0504,36023
42,5,0.3509,36023
43,1,0,36023
43,2,0.2086,36023
43,3,0.3901,36023
43,4,0.0504,36023
43,5,0.3509,36023
51,1,0,36023
51,2,0.3507,36023
51,3,0.3777,36023
51,4,0.0641,36023
51,5,0.2075,36023
52,1,0,36023
52,2,0.3507,36023
52,3,0.3777,36023
52,4,0.0641,36023
52,5,0.2075,36023
53,1,0,36023
53,2,0.3507,36023
53,3,0.3777,36023
53,4,0.0641,36023
53,5,0.2075,36023
53,1,0,36023
54,2,0.3507,36023
54,3,0.3777,36023
54,4,0.0641,36023
54,5,0.2075,36023
61,1,0,36023
61,2,0.7941,36023
61,3,0.1184,36023
61,4,0.0578,36023
61,5,0.0297,36023
62,1,0,36023
62,2,0.7941,36023
62,3,0.1184,36023
62,4,0.0578,36023
62,5,0.0297,36023
11,1,0,36025
11,2,0.1028,36025
11,3,0.8205,36025
11,4,0.0095,36025
11,5,0.0672,36025
21,1,0,36025
21,2,0.1382,36025
21,3,0.7356,36025
21,4,0.0448,36025
21,5,0.0814,36025
31,1,0,36025
31,2,0.1382,36025
31,3,0.7356,36025
31,4,0.0448,36025
31,5,0.0814,36025
32,1,0,36025
32,2,0.1382,36025
32,3,0.7356,36025
32,4,0.0448,36025
32,5,0.0814,36025
41,1,0,36025
41,2,0.098,36025
41,3,0.8134,36025
41,4,0.022,36025
41,5,0.0666,36025
42,1,0,36025
42,2,0.098,36025
42,3,0.8134,36025
42,4,0.022,36025
42,5,0.0666,36025
43,1,0,36025
43,2,0.098,36025
43,3,0.8134,36025
43,4,0.022,36025
43,5,0.0666,36025
51,1,0,36025
51,2,0.122,36025
51,3,0.7885,36025
51,4,0.0354,36025
51,5,0.0541,36025
52,1,0,36025
52,2,0.122,36025
52,3,0.7885,36025
52,4,0.0354,36025
52,5,0.0541,36025
53,1,0,36025
53,2,0.122,36025
53,3,0.7885,36025
53,4,0.0354,36025
53,5,0.0541,36025
53,1,0,36025
54,2,0.122,36025
54,3,0.7885,36025
54,4,0.0354,36025
54,5,0.0541,36025
61,1,0,36025
61,2,0.4663,36025
61,3,0.3678,36025
61,4,0.1524,36025
61,5,0.0135,36025
62,1,0,36025
62,2,0.4663,36025
62,3,0.3678,36025
62,4,0.1524,36025
62,5,0.0135,36025
11,1,0,36027
11,2,0.0209,36027
11,3,0.2822,36027
11,4,0.0969,36027
11,5,0.6,36027
21,1,0,36027
21,2,0.0482,36027
21,3,0.1854,36027
21,4,0.1727,36027
21,5,0.5937,36027
31,1,0,36027
31,2,0.0482,36027
31,3,0.1854,36027
31,4,0.1727,36027
31,5,0.5937,36027
32,1,0,36027
32,2,0.0482,36027
32,3,0.1854,36027
32,4,0.1727,36027
32,5,0.5937,36027
41,1,0,36027
41,2,0.0326,36027
41,3,0.2108,36027
41,4,0.1276,36027
41,5,0.629,36027
42,1,0,36027
42,2,0.0326,36027
42,3,0.2107,36027
42,4,0.1276,36027
42,5,0.6291,36027
43,1,0,36027
43,2,0.0326,36027
43,3,0.2107,36027
43,4,0.1276,36027
43,5,0.6291,36027
51,1,0,36027
51,2,0.0468,36027
51,3,0.2314,36027
51,4,0.2052,36027
51,5,0.5166,36027
52,1,0,36027
52,2,0.0468,36027
52,3,0.2314,36027
52,4,0.2052,36027
52,5,0.5166,36027
53,1,0,36027
53,2,0.0468,36027
53,3,0.2314,36027
53,4,0.2052,36027
53,5,0.5166,36027
53,1,0,36027
54,2,0.0468,36027
54,3,0.2314,36027
54,4,0.2052,36027
54,5,0.5166,36027
61,1,0,36027
61,2,0.2155,36027
61,3,0.0953,36027
61,4,0.5585,36027
61,5,0.1307,36027
62,1,0,36027
62,2,0.2155,36027
62,3,0.0953,36027
62,4,0.5585,36027
62,5,0.1307,36027
11,1,0,36029
11,2,0.0187,36029
11,3,0.1552,36029
11,4,0.0904,36029
11,5,0.7357,36029
21,1,0,36029
21,2,0.0287,36029
21,3,0.0736,36029
21,4,0.2958,36029
21,5,0.6019,36029
31,1,0,36029
31,2,0.0287,36029
31,3,0.0736,36029
31,4,0.2958,36029
31,5,0.6019,36029
32,1,0,36029
32,2,0.0287,36029
32,3,0.0736,36029
32,4,0.2958,36029
32,5,0.6019,36029
41,1,0,36029
41,2,0.0255,36029
41,3,0.1109,36029
41,4,0.2617,36029
41,5,0.6019,36029
42,1,0,36029
42,2,0.0255,36029
42,3,0.1109,36029
42,4,0.2617,36029
42,5,0.6019,36029
43,1,0,36029
43,2,0.0255,36029
43,3,0.1109,36029
43,4,0.2617,36029
43,5,0.6019,36029
51,1,0,36029
51,2,0.0467,36029
51,3,0.1426,36029
51,4,0.2666,36029
51,5,0.5441,36029
52,1,0,36029
52,2,0.0467,36029
52,3,0.1426,36029
52,4,0.2666,36029
52,5,0.5441,36029
53,1,0,36029
53,2,0.0467,36029
53,3,0.1426,36029
53,4,0.2666,36029
53,5,0.5441,36029
53,1,0,36029
54,2,0.0467,36029
54,3,0.1426,36029
54,4,0.2666,36029
54,5,0.5441,36029
61,1,0,36029
61,2,0.1982,36029
61,3,0.0831,36029
61,4,0.5465,36029
61,5,0.1722,36029
62,1,0,36029
62,2,0.1982,36029
62,3,0.0831,36029
62,4,0.5465,36029
62,5,0.1722,36029
11,1,0,36031
11,2,0.042,36031
11,3,0.9375,36031
11,4,0,36031
11,5,0.0205,36031
21,1,0,36031
21,2,0.2568,36031
21,3,0.704,36031
21,4,0,36031
21,5,0.0392,36031
31,1,0,36031
31,2,0.2568,36031
31,3,0.704,36031
31,4,0,36031
31,5,0.0392,36031
32,1,0,36031
32,2,0.2568,36031
32,3,0.704,36031
32,4,0,36031
32,5,0.0392,36031
41,1,0,36031
41,2,0.1967,36031
41,3,0.765,36031
