OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
159,36,119,010803,36119010803,108.03,Census Tract,G5020,S,2808520,0,+41.0311671,-073.7984078
160,36,119,010804,36119010804,108.04,Census Tract,G5020,S,1042288,0,+41.0198351,-073.7919500
161,36,119,010901,36119010901,109.01,Census Tract,G5020,S,3143597,0,+41.0613872,-073.7917758
162,36,119,010902,36119010902,109.02,Census Tract,G5020,S,3545823,13696,+41.0498410,-073.7814486
163,36,119,010903,36119010903,109.03,Census Tract,G5020,S,2254682,0,+41.0426662,-073.8035681
164,36,119,011000,36119011000,110,Census Tract,G5020,S,4876693,0,+41.0685861,-073.8146733
165,36,119,011101,36119011101,111.01,Census Tract,G5020,S,9313835,20329,+41.0551624,-073.8344549
166,36,119,011102,36119011102,111.02,Census Tract,G5020,S,2761775,0,+41.0278951,-073.8306571
167,36,119,011200,36119011200,112,Census Tract,G5020,S,2599074,0,+41.0537567,-073.8131654
168,36,119,011300,36119011300,113,Census Tract,G5020,S,7225673,3341258,+41.0342581,-073.8670276
169,36,119,011401,36119011401,114.01,Census Tract,G5020,S,2870954,358289,+41.0751948,-073.8498640
170,36,119,011402,36119011402,114.02,Census Tract,G5020,S,3272497,3955986,+41.0502630,-073.8703190
171,36,119,011500,36119011500,115,Census Tract,G5020,S,1459557,2815814,+41.0771838,-073.8683180
172,36,119,011601,36119011601,116.01,Census Tract,G5020,S,294811,0,+41.0840219,-073.8598950
173,36,119,011602,36119011602,116.02,Census Tract,G5020,S,884369,3653885,+41.0882116,-073.8715396
174,36,119,011700,36119011700,117,Census Tract,G5020,S,5498101,3346529,+41.1000829,-073.8650341
175,36,119,011800,36119011800,118,Census Tract,G5020,S,28842513,4389718,+41.1158766,-073.8226430
176,36,119,011902,36119011902,119.02,Census Tract,G5020,S,7580472,35275,+41.0843068,-073.7853084
177,36,119,012000,36119012000,120,Census Tract,G5020,S,4310746,10073,+41.1031826,-073.7942559
178,36,119,012101,36119012101,121.01,Census Tract,G5020,S,10445786,2443031,+41.1168587,-073.7604532
179,36,119,012102,36119012102,121.02,Census Tract,G5020,S,4203662,0,+41.1199293,-073.7758415
180,36,119,012201,36119012201,122.01,Census Tract,G5020,S,2584717,6261,+41.1395140,-073.7772592
181,36,119,012202,36119012202,122.02,Census Tract,G5020,S,2213998,0,+41.1351399,-073.7892315
182,36,119,012301,36119012301,123.01,Census Tract,G5020,S,3853425,1465554,+41.0759867,-073.7561411
183,36,119,012303,36119012303,123.03,Census Tract,G5020,S,26493684,3953874,+41.1239868,-073.7240624
