OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
3255,36,119,002403,1008,361190024031008,Block 1008,G5040, , , ,S,10321,0,+40.9201885,-073.8467002
3256,36,119,981000,1021,361199810001021,Block 1021,G5040, , , ,S,32682,0,+41.0848367,-073.8082712
3257,36,119,004600,3012,361190046003012,Block 3012,G5040, , , ,S,780,0,+40.9376102,-073.8376528
3258,36,119,014806,4014,361190148064014,Block 4014,G5040, , , ,S,28204,0,+41.2974512,-073.8227079
3259,36,119,014909,2002,361190149092002,Block 2002,G5040, , , ,S,0,27814,+41.3286799,-073.6915096
3260,36,119,012201,1001,361190122011001,Block 1001,G5040, , , ,S,9515,0,+41.1511613,-073.7819086
3261,36,119,013201,2033,361190132012033,Block 2033,G5040, , , ,S,0,19076,+41.1235213,-073.8332958
3262,36,119,013201,2038,361190132012038,Block 2038,G5040, , , ,S,0,14328,+41.1222240,-073.8274056
3263,36,119,011300,5010,361190113005010,Block 5010,G5040, , , ,S,31770,0,+41.0402785,-073.8673302
3264,36,119,011200,3000,361190112003000,Block 3000,G5040, , , ,S,32181,0,+41.0568851,-073.8094888
3265,36,119,012301,2022,361190123012022,Block 2022,G5040, , , ,S,10660,0,+41.0533433,-073.7497330
3266,36,119,000404,2006,361190004042006,Block 2006,G5040, , , ,S,11671,0,+40.9442739,-073.8957333
3267,36,119,015000,4019,361190150004019,Block 4019,G5040, , , ,S,3071893,5270,+41.3205091,-073.5744360
3268,36,119,009100,3003,361190091003003,Block 3003,G5040, , , ,S,2506,0,+41.0366607,-073.7795319
3269,36,119,015000,2012,361190150002012,Block 2012,G5040, , , ,S,12903,0,+41.3599366,-073.5704630
3270,36,119,008302,3028,361190083023028,Block 3028,G5040, , , ,S,5687,0,+41.0534344,-073.6940468
3271,36,119,009702,2010,361190097022010,Block 2010,G5040, , , ,S,52864,0,+41.0270720,-073.7414046
