OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPEAREA,SHAPELEN
6866,NY119,3,ChD,309696,294989.843281095,4721.87862924456
6867,NY119,3,ChC,309695,142376.314748211,1622.47562132143
6868,NY119,3,CrC,309703,242205.583031109,2916.71383519018
6869,NY119,3,RhD,309737,231432.658611866,3691.95233354655
6870,NY119,3,LcB,309717,105392.636804053,1747.82082631308
6871,NY119,3,ChC,309695,662367.695782581,6695.58293779066
6872,NY119,3,LeB,309718,154748.743741738,2040.14718085841
6873,NY119,3,LcB,309717,104001.492435614,1601.70130641016
6874,NY119,3,W,309689,93181.5737516634,1608.60649749451
6875,NY119,3,ChC,309695,150573.644220072,2035.57511583072
6876,NY119,3,CsD,309704,323586.121125953,3522.05617626878
6877,NY119,3,ChC,309695,373235.478190763,3238.93405397453
6878,NY119,3,HrF,309712,213858.370302243,3230.56012514791
6879,NY119,3,W,309689,61436.3338918177,1199.62813153433
6880,NY119,3,LcA,309716,464349.936173393,3950.73434457873
6881,NY119,3,Pw,309729,249567.263021841,4137.22872339675
6882,NY119,3,Ff,309707,131218.617953908,2124.10493475292
6883,NY119,3,CrC,309703,574532.68330651,4954.62925387446
6884,NY119,3,CrC,309703,175816.412814894,1892.823941653
6885,NY119,3,CrC,309703,345305.055755638,3017.09708486823
6886,NY119,3,W,309689,48102.7165204451,1220.95485478109
6887,NY119,3,Ub,309672,143088.822245402,1504.80109693108
6888,NY119,3,CtC,309705,65187.2506730995,1103.85018805155
6889,NY119,3,Sh,309743,194323.279016583,2827.09287676213
6890,NY119,3,CsD,309704,151943.988743098,2538.44844048256
6891,NY119,3,Pw,309729,120471.832750234,1891.09215782699
6892,NY119,3,HrF,309712,144617.71375713,2900.82345511488
6893,NY119,3,CrC,309703,950913.549143946,6153.35868710896
6894,NY119,3,ClC,309699,546299.14932344,5869.23643321277
6895,NY119,3,ChC,309695,220537.950335933,2465.7188569493
6896,NY119,3,CrC,309703,5136416.82178547,22704.4519632103
6897,NY119,3,ChC,309695,169282.136161777,1670.17338914176
6898,NY119,3,CsD,309704,243605.850371181,5287.47145383678
6899,NY119,3,RhC,309736,743256.08189153,5172.0278349359
6900,NY119,3,CsD,309704,1835479.45906931,15735.7850180255
6901,NY119,3,CsD,309704,221363.899962514,2981.82943761423
6902,NY119,3,HrF,309712,438225.148180122,5611.06387482422
6903,NY119,3,LcB,309717,81417.6823366768,1216.91725956976
6904,NY119,3,HnD,309711,64113.4455497904,1321.98916553439
6905,NY119,3,HrF,309712,211885.461658628,2959.03308016322
6906,NY119,3,CuD,309706,297655.806694709,5052.86112697405
6907,NY119,3,RhA,309734,689446.932535022,3577.00301365342
6908,NY119,3,ChC,309695,137922.978692882,2374.70751677978
6909,NY119,3,ChB,309694,123614.178769287,2152.92723352849
6910,NY119,3,WdB,309691,2696514.09705178,14546.9742837103
6911,NY119,3,HrF,309712,306612.70901155,3071.59523009285
6912,NY119,3,ChE,309697,558295.362515818,7139.81278393127
6913,NY119,3,CrC,309703,158401.346782392,2272.1392599715
6914,NY119,3,CrC,309703,382366.511911264,3304.77796401367
6915,NY119,3,CsD,309704,1148782.52589745,13660.9424636509
6916,NY119,3,Sm,309744,36650.0260609768,1003.08880816043
6917,NY119,3,Uf,309675,166991.473620916,1827.47800773155
6918,NY119,3,ChD,309696,106813.743486819,2286.9441699211
6919,NY119,3,CuD,309706,131840.754657635,2715.94359033422
6920,NY119,3,W,309689,50426.6427717571,1092.4177015545
6921,NY119,3,Ff,309707,129922.944883264,2263.67892332952
6922,NY119,3,CtC,309705,624025.042196644,3795.47158010997
6923,NY119,3,W,309689,38939.4090254676,861.689100175373
6924,NY119,3,CsD,309704,93157.288771331,1929.08247414191
6925,NY119,3,Ce,309693,232623.208166864,2022.43185852581
6926,NY119,3,CuD,309706,84286.1817139361,1597.6458702746
6927,NY119,3,CrC,309703,717468.099098565,4089.09285093964
6928,NY119,3,CrC,309703,183300.428227336,2158.96580192549
6929,NY119,3,ChB,309694,286742.842885784,3191.89287940533
6930,NY119,3,CsD,309704,16985.6208017204,661.175080076471
6931,NY119,3,PnC,309722,159114.62692844,2097.4880729454
6932,NY119,3,UvB,309686,418179.446997683,3767.15973650103
6933,NY119,3,Sh,309743,290217.084433302,4157.76109109006
6934,NY119,3,CsD,309704,86889.9014759391,1186.77807850724
6935,NY119,3,CtC,309705,61612.3292278647,1138.24726186214
6936,NY119,3,CtC,309705,1750979.28151134,5464.68287525562
6937,NY119,3,CtC,309705,1913647.23116877,10279.6243048853
6938,NY119,3,KnC,309715,214398.274197118,1919.87899404231
6939,NY119,3,CrC,309703,107270.528761915,1364.27882511127
6940,NY119,3,ChC,309695,2464993.28455143,13366.0795447189
6941,NY119,3,ChB,309694,111278.538141166,1919.19618670563
6942,NY119,3,CsD,309704,216603.089367846,2298.25334593579
6943,NY119,3,Sm,309744,46670.7928709238,920.130776425596
6944,NY119,3,CrC,309703,76243.0122952456,1257.6335910939
6945,NY119,3,Uf,309675,305309.620169526,3849.96462835933
6946,NY119,3,ChE,309697,171583.418043576,2382.44690557842
6947,NY119,3,ChE,309697,490537.693901906,6153.79427412569
6948,NY119,3,SuB,309671,121524.484928909,1925.22064877776
6949,NY119,3,CrC,309703,467038.656478721,3244.59775820611
6950,NY119,3,Sh,309743,177570.794301059,2701.36272031082
6951,NY119,3,CuD,309706,577091.232595341,4952.07861611642
6952,NY119,3,WdB,309691,167424.818549852,1973.78315850749
6953,NY119,3,ChC,309695,158236.212858824,3057.12055154328
6954,NY119,3,CuD,309706,166928.344441609,1855.29525914316
6955,NY119,3,CrC,309703,688894.385336727,4537.74514359342
6956,NY119,3,PnD,309723,710667.141996357,5077.9744015508
6957,NY119,3,RgB,309733,835569.67620868,8447.30591406862
6958,NY119,3,CrC,309703,248681.156072116,2111.64321722874
6959,NY119,3,CtC,309705,632697.91096619,3523.3867961113
6960,NY119,3,Pv,309728,158036.798639179,1751.31164148053
6961,NY119,3,ChD,309696,77822.0385590395,1885.62113133155
6962,NY119,3,CsD,309704,184059.412445307,2656.95482954889
6963,NY119,3,HrF,309712,415434.463314116,4345.85643839426
6964,NY119,3,RhE,309738,76165.1910627852,1741.58083608005
6965,NY119,3,W,309689,15077.6183943423,476.7259507332
6966,NY119,3,Sm,309744,84373.3262404556,1170.89048846245
6967,NY119,3,Ra,309730,206455.256928686,3050.93877675432
6968,NY119,3,CrC,309703,625307.552730907,4544.99585348707
6969,NY119,3,ChB,309694,300770.380207243,3453.36688234859
6970,NY119,3,UhB,309676,1173390.99116207,5506.79815516177
6971,NY119,3,ChD,309696,846821.349287438,5152.39935077975
6972,NY119,3,ChC,309695,250080.352761839,2287.47212735969
6973,NY119,3,RdA,309731,151260.436926222,2375.40020059284
6974,NY119,3,HrF,309712,155978.337768942,2573.5515577044
6975,NY119,3,LcB,309717,106296.835484331,1695.84795559537
6976,NY119,3,CrC,309703,193905.362981335,2648.79983012691
6977,NY119,3,CrC,309703,2783662.38436085,9749.61575802202
6978,NY119,3,SuA,309670,33569.6030628853,853.898376258829
6979,NY119,3,CtC,309705,367545.632331661,2956.79028760947
6980,NY119,3,PnB,309721,1966173.67962421,8318.62942410743
6981,NY119,3,ChD,309696,585065.295226399,4803.98287737288
6982,NY119,3,CrC,309703,4932234.11180277,23257.4636584991
6983,NY119,3,ChC,309695,984509.79657884,9186.26424847119
6984,NY119,3,W,309689,544958.957644912,3151.11778017248
6985,NY119,3,Pa,309719,341509.819745017,3743.46119355245
6986,NY119,3,Sh,309743,64811.9426804585,1395.46591901345
6987,NY119,3,CrC,309703,603197.473223909,4149.87982343435
6988,NY119,3,PnC,309722,602184.217279786,4126.79060612793
6989,NY119,3,ClF,309702,912710.048650248,6930.76821441108
6990,NY119,3,UhD,309678,89042.793832736,1551.36261036209
6991,NY119,3,CsD,309704,176469.755846264,3089.08592791057
6992,NY119,3,RhB,309735,510719.707044942,3309.51995882881
6993,NY119,3,CsD,309704,1364883.27274662,13428.3825581382
6994,NY119,3,CsD,309704,539979.687064905,5430.90460886596
6995,NY119,3,Ce,309693,280534.418679042,2134.42857362512
6996,NY119,3,Ce,309693,326744.938465875,2446.0948656624
6997,NY119,3,RhD,309737,100985.183861056,1636.75472088578
6998,NY119,3,CtC,309705,754403.945518232,4262.69109201781
6999,NY119,3,W,309689,324011.982590939,3637.14830105386
7000,NY119,3,LeB,309718,636260.916419451,8293.79738121137
7001,NY119,3,CsD,309704,3122060.76631757,18547.3579455196
7002,NY119,3,Sm,309744,38327.0203818925,1411.97744432103
7003,NY119,3,Pt,309727,124788.214706726,1516.38633880861
7004,NY119,3,ChD,309696,147669.169088347,1966.10007892668
7005,NY119,3,CsD,309704,1944037.62358558,12039.9158360328
7006,NY119,3,Ub,309672,399238.690157592,5603.40304952235
7007,NY119,3,SuB,309671,715526.937784551,6488.02545882418
